die (politische) Partei (-en)				le parti (politique)
die Vereinigung 					le groupement 
 der Verein (-e) 					l’association (ex. Sportvereine)
der Bürger (-) 					 	le citoyen 
gemeinsam 					 	en commun
die Anschauung (-en) 					opinion, conception 
 die Weltanschauung 					vision, conception du monde
teilen 					 		partager
sich zusammenschließen 					fusionner, s’associer, se regrouper
schrifltich 					 	par écrit (die Schrift l’écriture)
der Parteitag 					 	le congrès du parti
das Mitglied (er) 					le membre (d’un parti)
das Bindeglied (-er) 					le lien
bei etwas mitwirken 					contribuer à qch. Ici « les partis contribuent à la formation de la volonté politique du peuple »
der Grundsatz (-ë) 					das Prinzip (-ien)
etwas (Dativ) entsprechen 				correspondre à
die Herkunft 					 	l’origine
die Verwendung 					 	l’utilisation
das Mittel (-) 					 	le moyen
das Vermögen 					 	la fortune
über etwas (Akkusativ) Rechenschaft geben 		rendre compte de qch
« Parteien, die nach ihren Zielen oder nach dem Verhalten ihrer Anhänger darauf ausgehen...” 					 les partis dont les objectifs et le comportement des partisans visent à...
Freiheiltich demokratische Grundordnung 		le fondement démocratique et libéral
etwas beeinträchtigen 					porter préjudice, nuire à qch., compromettre qch.
etwas beseitigen 					supprimer qch.
der Bestand 					 	l’existence (hier)
gefährden 					 	mettre en danger
verfassungswidrig 					anticonstitutionnel
ausschließen					 	exclure 
 der Ausschluss 					l’exclusion
feststellen 					 	constater
entfallen 					 	ne pas avoir lieu
steuerliche Begünstigung 				avantages fiscaux
Zuwendungen 					 	subventions (Zuschüsse)
verfassungswidrig 					anticonstitutionnel (verfassungsmäßig constitutionnel)
der Absatz ( ̈-e) 					le paragraphe (juridique)
der Wille 					 	la volonté
über etwas entscheiden (ie, ie) 			décider de qch.
Der Rechtsstaat 					l’Etat de droit
Das höchste / oberste Gericht 				le tribunal suprême
verfassungswidrig 					anticonstitutionnel (verfassungsmäßig constitutionnel)
erklären 					 	déclarer
aussprechen 					 	prononcer
das Verfahren 					 	la procédure (ici), le procédé
das Recht (e) 					 	le droit
die Wahlergebnisse 					les résultats des élections
