mutmaßlich				présumé
in gewahrsam				la détention
der Hafen				le port
die einheitliche Währung verwanden	adopter la monnaie unique
die Einschätzung 	 		l'évaluation
der Haftbefehl				le mandat d'arrêt
das Gericht				le plat, le tribunal
nun 					eh bien
ziemlich				assez
unterhalten(ä,i,a)			entretenir
ertragen				supporter
benehmen				se conduire
schwingen				brandir, pénétrer
schwellen				enfler/gonfler
sinnen					réfléchir
speien					cracher
schweigen				se taire
meiden					éviter
weisen					montrer
schleichen				se glisser
weichen					céder le pas
preisen					vanter
vergreifen				comprendre
kneifen					pincer
schleifen				aiguiser
sich befleißen				s'appliquer
gleiten					glisser
spleißen				fendre
schmeißen				lancer
verschleißen 				s'user prématurément
kriechen				ramper
empfehlen				recommander
befehlen				ordonner
stieben					voler en poussière
sieden					bouillir
der Siedler				le colon
sprießen				germer/éclore
gießen					verser
(er)wagen				peser, considérer
anbieten				proposer/offrir
gären					fermenter
genessen				jouir de
(er)schallen				résonner/retentir
betrügen				mentir
schnauben				s'ébrouer/haleter
saugen					sucer
saufen					boire (animaux)
aufwachsen				grandir
pflegen					avoir coutume de
bewegen					inciter à
schaffen				créer
weben					tisser
vergehen				passer
scheren					tondre
flechten				tresser
schlingen				avaler
stehlen					dérober
schinden				écorcher
verbringen				passer du temps
besitzen				posséder
schwören				jurer
entkommen				s'échapper
stoßen					heurter
abschlißen				résumer
verwurzelt				enraciné
einwurzeln				prendre raçine
verfassen				rédiger
weichen					céder le pas
der Einstieg				l'entrée
behandeln				traiter
vornehmen(i,a,o)			prévoir, s'attaquer à, effectuer
arbeiten an + Dativ			travailler à, sur qch
das Merkmal   				le signe, la caractéristique
sich eignen				être apte
aufzeigen				démontrer
erwarten etwas von jemandem		attendre qc de qn
eigenständig   	   			autonome
vorschlagen				proposer
deshalb					pour cela
deshalb ist das nicht möglich		c la raison pour laquelle ce n'est pas possible
ich bin deshalb gekommen, weil		Si je suis venu, c parceque
betreffen etwas		  		concerner qc
entstehen 				se constituer, naître
scheinbar				apparemment
der Heimkehrer				le revenant
umgekehrt				à l'inverse
nachwirken				continuer d'agir, résonner dans la mémoire
daheim					chez soi
hinaus					dehors
die Wiederbelebung			une réanimation, la renaissance
wiederbeleben				réanimer, faire revivre
wegweisend				porteur d'avenir
die Anregung				la suggestion, l'incitation
entgegengesetz				opposé
die Tapete				le papier peint, la tapisserie
ebenfalls				aussi, également
sowie					aussitôt que
hintergründig				énigmatique, complexe
hervortreten				s'avancer
verarbeiten				traiter, transformer
die Erfahrung				l'expérience
die Entdeckung				la découverte
die Mundart				le patois
die Vertrautheit			la bonne connaissance
die Aussage				la déclaration
die Fremdheit				l'étrangeté
die Befremdung				la stupéfaction
formelhaft				protocolaire
der Inhalt(es,e)			le contenu
hervorheben				souligner
einsetzen				poser (fondation théorique)
anregen					stimuler
angeregt				stimulant
wesentlich				fondamental
befördern				transporter, acheminer
die Aussage				la déclaration
anstregend				fatiguant
sich anstregend				se fatiguer
die Anstrengung				dépense physique, éffort
die Abgrenzung				la démarcation, la limite
abgrenzen				délimiter
bereits					déjà
die Bereitschaft			l'état d'être opé
aufzeigen				démontrer
das Schnitzel				l'escalope
schaffen				créer, réussir
