ungefahr, etwa, circa					environ
versprechen/versagen					promettre/échouer
versagen, scheitern					échouer, faillir
die Versagung						la défaillance
jdm etw streichen					supprimer à qn qc (emploi/avantage)
arbeitsplätze abbauen					supprimer (emplois)
abschaffen    						supprimer (liberté peine de mort)
schaffen						réussir, venir à bout de
beseitigen						supprimer, faire disparaître (tuer / fatigue, trace)
löschen							supprimer (INFO)
der Zusammenbruch					l'effondrement (écroulement physique, abattement / effondrement d'une entreprise, économie)
zerschlagen						démanteler, détruire
die Zersplitterung					le morcellement
die Gewaltat, die Ausschreitung				acte de violence
die Tätigkeit, die Gewaltat				l'activité, acte de violence 	  					
verstärken, aufstocken, erhöhen				augmenter (transitif)
wachsen, zunehmen, steigen, erhöhen			augmenter (intransitif)
die Selbstverständigkeit, die Öffensichttlichkeit	l'évidence
die Öffentlichkeit					l'opinion publique
veröffentlichkeit					publier
die Selbstverständigkeit, die Selbstständigkeit		l'évidence, l'autonomie
verfolgen, vorsetzen					poursuivre (transitif)
fortfahren 						poursuivre (intransitif)
bei einem Thema bleiben					poursuivre sur un sujet
bleiben	  						rester
weitermachen						poursuivre, perséverer
machen							faire
andauern						poursuivre, persister
dauern							durer
empfangen						acceuillir (recevoir)
aufnehmen						acceuillir (héberger)
das Gebot 						la règle, l'enchère
das Angebot						l'offre, le choix, la promotion
ablehnen, aufschlagen, verweigern, abweisen		refuser (qc/ cadeau, invitation, offre, obejt, accès, gens)
wiederbeleben	       		   			réanimer
die Belebung						la relance
der Gebiet, der Bereich, der Betrieb			le territoire, région / zone, domaine / entreprise
das Getriebe		     				boite de vitesse
einhalten, wahren					respecter
das Entkommen						l'évasion
entkommen						s'échapper
einig, einzig, eigen					ê d'accord, seul/unique, propre (antéposé)
ernst, erst    						grâve, premier
müssigang						oisiveté
verhalten/verhältnis					comportement/relation,ratio
