saurier	zoologie
graphie	NULL
kratie	féminin
pathie	sentiment, autres
schaft	sert à former des substantifs féminins à partir d'autres substantifs ou de verbes, et indiquant la qualité décrite par ceux-ci
haltig	pour former des adjectifs à partir de substantifs, et indiquant la présence d'une chose
macher	noms de métier dans le cas d'un fabricant (masculin), celui qui fait, le faiseur de ...
artig	du mot Art, la manière
innen	suffixe pour inclure les formes masculines et féminine
innig	intime
ismus	croyance, doctrine, qualité, particularité ou maladie
kunde	équivalent à -logie
bach	rivière et fleuve
chen	suffixe diminutif. Neutre
heit	pour former des substantifs féminins à partir d'adjectifs, en indiquant la qualité décrite par ceux-ci.
(in)	NULL
fach	le chiffre ou la quantité indiquée par le radical, fois
frei	pour former des substantifs indiquant l'abscence d'une chose
isch	permet de transformer un substantif en adjectif, signifiant: qui a la qualité de correspond au français -ique
ität	féminin
keit	servant à former des substantifs féminins à partir d'adjectifs, et indiquant la qualité décrite par ceux ci.
lein	suffixe diminutif
lich	sert à créer des adjectifs ou des adverbes à partir de substantifs ou de verbes, et signifiant en gros "de manière"
bar	sert à former un adjectif à partir d'un verbe, et indiquant la capacité à lare l'action décrite par celui-ci. -able (ou -ible) en français.
ier	suffixe inclus dans le radical pour les verbes importés
los	suffixe servant à créer des adjectifs à partir de substantifs, et signifiant l'absence de quelque chose, une privation (arbeitlos)
nis	permet de transformer un verbe en un substantif neutre, qui devient la matérialisation de celui-ci.
ste	suffixe utilisé pour former un ordinal à partir d'un cardinal de 20 ou plus. Le plus couramment utilisé.
ung	transformation d'un verbe en substantif. Les substantifs sont alors féminins
zid	équivalent du cide français. bakterizides -> bactéricide
sch	suffixe apposé au nom d'une personne pour former un adjectif. l'adjectif dérivé s'écrit en majuscule
sch	Suffixe apposé au nom d'une personne pour former un adjectif. l'adjectif dérivé s'écrit en minusculeon	physique
st	suffixe utilisé pour former un ordinal à partir d'un cardinal de 20 ou plus
te	utilisé également pour former un ordinal à partir d'un cardinal moins de 20. le plus couramment utilisé.
id	indique la masculinité
ig	permet de transformer un nom en adjectif
in	pour former des mots féminins
ei	lieu d'exercice d'une profession
er	habitant, et qui fait l'action, -eur ou -ier sont synonymes
n	permet d'obtenir des verbes à partir de certains adjectifs
s	génitif singulier, marque de pluriel, épenthèse utile pour la formation de mots composés
t	suffixe utlisé pour construire le participe passé des verbes faibles à préfixe non accentué. utilisé également pour former un ordinal à partir d'un cardinal moins de 20
